Disease,Description
Fungal infection,A disease caused by fungi affecting skin and nails.
Allergy,Immune system response to a foreign substance causing symptoms.
GERD,Acid reflux disease causing stomach acid to flow into esophagus.
Chronic cholestasis,Reduction of bile flow causing itching and jaundice.
Drug Reaction,Unintended harmful effect of a medication on the body.
Peptic ulcer disease,Sores in the lining of stomach or small intestine.
AIDS,Chronic condition caused by HIV that weakens the immune system.
Diabetes,Group of diseases causing high blood sugar levels.
Gastroenteritis,Stomach and intestine inflammation causing vomiting and diarrhea.
Bronchial Asthma,Long-term airway inflammation causing breathing difficulty.
Hypertension,High blood pressure putting extra strain on blood vessels.
Migraine,Recurring headaches causing moderate to severe throbbing pain.
Cervical spondylosis,Age-related wear affecting spinal disks in the neck.
Paralysis (brain hemorrhage),Loss of brain function due to interrupted blood supply.
Jaundice,Yellowing of skin and eyes due to excess bilirubin in blood.
Malaria,Disease caused by parasites transmitted through mosquito bites.
Chicken pox,Contagious viral infection causing an itchy blister-like rash.
Dengue,Mosquito-borne viral disease causing high fever and rash.
Typhoid,Bacterial disease spread through contaminated food or water.
Hepatitis A,Highly contagious liver infection caused by hepatitis A virus.
Hepatitis B,Serious liver infection caused by the hepatitis B virus.
Hepatitis C,Liver disease caused by the hepatitis C virus via blood.
Hepatitis D,Serious liver disease occurring only with hepatitis B infection.
Hepatitis E,Liver disease caused by hepatitis E virus spread via water.
Alcoholic hepatitis,Liver inflammation caused by excess alcohol consumption.
Tuberculosis,Serious infectious disease mainly affecting the lungs.
Common Cold,Contagious viral infection of the nose and throat.
Pneumonia,Infection that inflames air sacs in one or both lungs.
Dimorphic hemorrhoids(piles),Swollen veins in the rectum causing pain and bleeding.
Heart attack,Blockage of blood flow to the heart muscle.
Varicose veins,Enlarged twisted veins visible just under the skin of legs.
Hypothyroidism,Thyroid gland produces insufficient thyroid hormone.
Hyperthyroidism,Thyroid gland produces too much thyroid hormone.
Hypoglycemia,Blood glucose falls below normal healthy levels.
Osteoarthritis,Breakdown of cartilage causing joint pain and stiffness.
Arthritis,Inflammation of joints causing pain and stiffness.
(Vertigo) Paroxysmal Positional Vertigo,Episodes of dizziness caused by inner ear problems.
Acne,Skin condition causing pimples and spots mainly on the face.
Urinary tract infection,Infection in any part of the urinary system.
Psoriasis,Skin disease causing red itchy scaly patches on skin.
Impetigo,Highly contagious skin infection causing sores and blisters.
