Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Chronic cholestasis,itching,fatigue,yellowish_skin,abdominal_pain
Chronic cholestasis,itching,fatigue,yellowish_skin,abdominal_pain
Chronic cholestasis,itching,fatigue,yellowish_skin,abdominal_pain
Chronic cholestasis,itching,fatigue,yellowish_skin,abdominal_pain
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Peptic ulcer disease,vomiting,indigestion,loss_of_appetite,abdominal_pain
Peptic ulcer disease,vomiting,indigestion,loss_of_appetite,abdominal_pain
Peptic ulcer disease,vomiting,indigestion,loss_of_appetite,abdominal_pain
Peptic ulcer disease,vomiting,indigestion,loss_of_appetite,abdominal_pain
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Diabetes,fatigue,weight_loss,polyuria,blurred_and_distorted_vision
Diabetes,fatigue,weight_loss,polyuria,blurred_and_distorted_vision
Diabetes,fatigue,weight_loss,polyuria,blurred_and_distorted_vision
Diabetes,fatigue,weight_loss,polyuria,blurred_and_distorted_vision
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Bronchial Asthma,fatigue,cough,wheezing,breathlessness
Bronchial Asthma,fatigue,cough,wheezing,breathlessness
Bronchial Asthma,fatigue,cough,wheezing,breathlessness
Bronchial Asthma,fatigue,cough,wheezing,breathlessness
Hypertension,headache,chest_pain,dizziness,lack_of_concentration
Hypertension,headache,chest_pain,dizziness,lack_of_concentration
Hypertension,headache,chest_pain,dizziness,lack_of_concentration
